x,Potencia real minimo del total,Potencia real promedio del total,Potencia real maximo del total,Potencia real minimo de R,Potencia real promedio de R,Potencia real maximo de R,Potencia real minimo de S,Potencia real promedio de S,Potencia real maximo de S,Potencia real minimo de T,Potencia real promedio de T,Potencia real maximo de T,Potencia real minimo del total,Potencia real promedio del total,Potencia real maximo del total,Potencia real minimo de R,Potencia real promedio de R,Potencia real maximo de R,Potencia real minimo de S,Potencia real promedio de S,Potencia real maximo de S,Potencia real minimo de T,Potencia real promedio de T,Potencia real maximo de T
2024-06-01,10.26,21.26,73.97,3.81,7.69,24.12,1.79,7.53,26.37,1.99,6.04,23.48,10.26,21.26,73.97,3.81,7.69,24.12,1.79,7.53,26.37,1.99,6.04,23.48
2024-06-02,12.19,22.96,61.52,3.62,7.56,22,3.25,8.62,23.67,2.13,6.79,21.11,12.19,22.96,61.52,3.62,7.56,22,3.25,8.62,23.67,2.13,6.79,21.11
2024-06-03,15.85,27.17,72.39,3.37,9.36,25.46,3.98,9.95,25.03,3.93,7.87,22.26,15.85,27.17,72.39,3.37,9.36,25.46,3.98,9.95,25.03,3.93,7.87,22.26
2024-06-04,15.55,27.13,74.02,4.76,9.88,25.9,3.13,9.47,25.92,3.41,7.78,23.54,15.55,27.13,74.02,4.76,9.88,25.9,3.13,9.47,25.92,3.41,7.78,23.54
2024-06-05,12.68,24.44,75.13,3.95,8.71,25.69,3.75,8.66,26.26,2.12,7.08,24.05,12.68,24.44,75.13,3.95,8.71,25.69,3.75,8.66,26.26,2.12,7.08,24.05
2024-06-06,9.53,22.38,62.54,4.06,7.86,22.66,1.58,8.14,24.66,2.58,6.39,21.17,9.53,22.38,62.54,4.06,7.86,22.66,1.58,8.14,24.66,2.58,6.39,21.17
2024-06-07,10.64,18.64,64.52,3.11,6.63,22.7,1.47,6.06,20.89,2.53,5.95,20.72,10.64,18.64,64.52,3.11,6.63,22.7,1.47,6.06,20.89,2.53,5.95,20.72
2024-06-08,9.02,16.51,65.79,2.88,5.56,21.23,2.23,5.5,22.67,2.2,5.46,22.17,9.02,16.51,65.79,2.88,5.56,21.23,2.23,5.5,22.67,2.2,5.46,22.17
2024-06-09,8.13,17.88,57.84,2.88,6.23,21.75,1.33,5.51,21.86,2.08,6.14,19.61,8.13,17.88,57.84,2.88,6.23,21.75,1.33,5.51,21.86,2.08,6.14,19.61
2024-06-10,6.68,17.8,65.43,2.11,6.16,22.5,1.32,5.87,22.64,1.83,5.78,21.73,6.68,17.8,65.43,2.11,6.16,22.5,1.32,5.87,22.64,1.83,5.78,21.73
2024-06-11,9.45,19.02,66.04,3.16,6.78,21.96,1.82,6.98,26.53,2.19,5.27,20.79,9.45,19.02,66.04,3.16,6.78,21.96,1.82,6.98,26.53,2.19,5.27,20.79
2024-06-12,5.31,15.18,62.79,2.12,6.56,25.07,1.3,4.6,21.29,1.42,4.01,18.66,5.31,15.18,62.79,2.12,6.56,25.07,1.3,4.6,21.29,1.42,4.01,18.66
2024-06-13,6.78,14.29,58.62,2.66,6.17,21.71,1.18,4.45,18.42,1.23,3.68,18.92,6.78,14.29,58.62,2.66,6.17,21.71,1.18,4.45,18.42,1.23,3.68,18.92
2024-06-14,6.02,15.41,59.59,2.48,5.56,21.31,1.43,5.58,21.35,1.11,4.27,19.51,6.02,15.41,59.59,2.48,5.56,21.31,1.43,5.58,21.35,1.11,4.27,19.51
2024-06-15,8.81,16.18,63.25,2.86,5.76,20.85,1.85,5.76,24.42,2.33,4.67,17.98,8.81,16.18,63.25,2.86,5.76,20.85,1.85,5.76,24.42,2.33,4.67,17.98
2024-06-16,9.04,17.62,58.01,3.04,5.98,19.56,1.65,7.15,22.36,2.11,4.5,17.56,9.04,17.62,58.01,3.04,5.98,19.56,1.65,7.15,22.36,2.11,4.5,17.56
2024-06-17,6.73,16.19,56.62,2.24,5.8,20.13,1.49,5.6,21.09,1.11,4.79,18.94,6.73,16.19,56.62,2.24,5.8,20.13,1.49,5.6,21.09,1.11,4.79,18.94
2024-06-18,7.37,12.54,53.9,2.72,4.99,18.99,1.36,3.54,17.81,2.06,4.02,17.48,7.37,12.54,53.9,2.72,4.99,18.99,1.36,3.54,17.81,2.06,4.02,17.48
2024-06-19,6.22,13.81,65.1,2.68,5.7,23.31,1.25,3.71,20.49,1.08,4.4,21.31,6.22,13.81,65.1,2.68,5.7,23.31,1.25,3.71,20.49,1.08,4.4,21.31
2024-06-20,8.71,18.42,61.24,3.14,5.87,22.73,1.38,7.3,21.43,1.99,5.25,18.23,8.71,18.42,61.24,3.14,5.87,22.73,1.38,7.3,21.43,1.99,5.25,18.23
2024-06-21,9.83,20.31,61.49,3.07,6.71,21.54,1.66,7.47,22.17,2.83,6.13,20.76,9.83,20.31,61.49,3.07,6.71,21.54,1.66,7.47,22.17,2.83,6.13,20.76
2024-06-22,8.08,18.58,68.99,2.22,6.58,19.63,2.52,6.22,22.37,2.81,5.78,22.3,8.08,18.58,68.99,2.22,6.58,19.63,2.52,6.22,22.37,2.81,5.78,22.3
2024-06-23,13.18,25.23,61.98,3.33,9.49,22.4,3.79,9.01,23.64,2.55,6.74,20.49,13.18,25.23,61.98,3.33,9.49,22.4,3.79,9.01,23.64,2.55,6.74,20.49
2024-06-24,14.63,26.68,73.1,4.62,9.84,24.83,3.89,9.31,27.82,3.35,7.54,23.89,14.63,26.68,73.1,4.62,9.84,24.83,3.89,9.31,27.82,3.35,7.54,23.89
2024-06-25,13.13,28.26,77.65,3.02,9.29,26.24,4.13,11.02,28.3,2.72,7.96,25.43,13.13,28.26,77.65,3.02,9.29,26.24,4.13,11.02,28.3,2.72,7.96,25.43
2024-06-26,17.5,30.39,72.52,4.14,9.36,24.27,7.21,13.1,29.27,2.94,7.93,23.55,17.5,30.39,72.52,4.14,9.36,24.27,7.21,13.1,29.27,2.94,7.93,23.55
2024-06-27,13.01,24.42,55.27,4.12,7.92,19.2,2.01,9.56,21.75,2.69,6.95,19.33,13.01,24.42,55.27,4.12,7.92,19.2,2.01,9.56,21.75,2.69,6.95,19.33
2024-06-28,12.5,23.18,58.01,4.01,8.4,20.24,1.8,7.12,21.16,3.93,7.66,17.11,12.5,23.18,58.01,4.01,8.4,20.24,1.8,7.12,21.16,3.93,7.66,17.11
2024-06-29,13.61,22.71,62.59,3.96,8.35,23.17,2.55,7.43,24.05,3.71,6.93,19.64,13.61,22.71,62.59,3.96,8.35,23.17,2.55,7.43,24.05,3.71,6.93,19.64
2024-06-30,10.69,24.66,66.85,2.69,8.25,23.87,1.64,9.21,24.34,2.74,7.2,20.61,10.69,24.66,66.85,2.69,8.25,23.87,1.64,9.21,24.34,2.74,7.2,20.61
2024-07-01,12.34,27.01,70.36,3.32,8.15,22.72,3.86,11.61,28.7,2.88,7.25,23.38,12.34,27.01,70.36,3.32,8.15,22.72,3.86,11.61,28.7,2.88,7.25,23.38
2024-07-02,12.73,26.5,77.55,3.41,7.77,25.57,4.51,10.87,28.91,3.92,7.87,23.67,12.73,26.5,77.55,3.41,7.77,25.57,4.51,10.87,28.91,3.92,7.87,23.67
2024-07-03,13.74,25.46,72.03,2.74,8.04,24.71,3.68,9.99,26.97,3.2,7.43,23.34,13.74,25.46,72.03,2.74,8.04,24.71,3.68,9.99,26.97,3.2,7.43,23.34
2024-07-04,11.99,24.4,65.66,3.67,9.03,23.57,3.35,8.64,24.24,2.78,6.74,21.77,11.99,24.4,65.66,3.67,9.03,23.57,3.35,8.64,24.24,2.78,6.74,21.77
